title,genre,theme,budget,revenue
Thunder Gloom,Action,War,265,905
Wicked Rift,Adventure,Discovery,165,710
Iron Siege,SciFi,Survival,190,942
Primal Flux,SciFi,Adventure,140,288
Lost Path,Action,Love,65,287
Shattered Gloom,Comedy,Friendship,175,832
Eternal Flame,Drama,Rebellion,60,144
Vivid Strike,Horror,Obsession,145,836
Twisted Gloom,Romance,Heist,55,97
Eternal Blade,Adventure,Identity,85,509
Urban Siege,SciFi,Betrayal,245,677
Eternal Shard,Horror,Legacy,55,192
Dark Voyage,Comedy,Conspiracy,45,209
Mystic Crest,Thriller,Police,175,510
Cosmic Oath,Action,Sacrifice,30,143
Silent Forge,Thriller,Sacrifice,270,862
Rogue Voyage,Drama,Escape,185,745
Phantom Laugh,Fantasy,Escape,245,1138
Dark Laugh,Horror,Mystery,285,1222
Hollow Wrath,Drama,Sacrifice,220,787
Primal Realm,Romance,Identity,215,447
Toxic Code,SciFi,Exploration,280,762
Iron Fury,Action,Justice,265,1420
Crystal Oath,Romance,Family,170,554
Ancient Heist,Action,Redemption,220,967
Fallen Strike,Adventure,Discovery,175,1079
Frozen Heist,Thriller,Sacrifice,210,567
Dragon Bane,Crime,Friendship,85,476
Golden Veil,Romance,Obsession,25,94
Urban Rift,SciFi,Chaos,250,726
Primal Gloom,Action,Adventure,155,856
Hidden Reign,Comedy,Adventure,10,50
Phantom Crown,Action,Discovery,210,706
Wicked Fang,Romance,Mystery,275,1058
Neon Crown,Drama,Friendship,125,438
Urban Laugh,Thriller,Redemption,40,231
Toxic Abyss,Thriller,Redemption,160,948
Midnight Gloom,Drama,Love,120,341
Rogue Rift,Drama,Identity,100,403
Lost Witness,Drama,Justice,35,57
Dark Oath,SciFi,Love,280,1075
Urban Storm,Thriller,Power,90,487
Wicked Shard,Comedy,Obsession,75,277
Frozen Flame,Action,Mystery,130,513
Hidden Blade,Romance,Discovery,260,787
Twisted Justice,Drama,Chaos,250,1065
Golden Forge,Crime,Heist,290,1544
Steel Dawn,Horror,Betrayal,155,998
Silent Pursuit,Romance,Transformation,165,532
Last Harbor,Adventure,Obsession,130,563
Phantom Dawn,Thriller,Legacy,55,269
Steel Rift,Romance,Conspiracy,135,235
Frozen Fang,Adventure,Heist,270,1625
Twisted Laugh,Fantasy,Identity,185,971
Shadow Gloom,Horror,Sacrifice,245,1149
Thunder Spark,Fantasy,Friendship,50,310
Scarlet Tide,Adventure,Heist,295,1517
Broken Veil,Drama,Conspiracy,240,1015
Rising Justice,Fantasy,Transformation,160,493
Broken Bane,Fantasy,Crime,255,940
Shattered Flame,Adventure,Mystery,120,335
Savage Gloom,Drama,War,40,144
Rising Wrath,Horror,Destiny,290,1638
Golden Crown,Horror,Power,75,232
Dark Harbor,Drama,Destiny,30,99
Iron Heist,Action,Corruption,50,152
Twisted Abyss,Fantasy,Rebellion,25,78
Phantom Rift,SciFi,Police,215,1194
Deep Flame,Action,Destiny,155,686
Dragon Night,Drama,Crime,210,590
Broken Spark,Drama,Transformation,190,296
Crystal Fury,Romance,Freedom,65,263
Mystic Zenith,Horror,Chaos,225,1381
Crimson Harbor,Comedy,Survival,260,885
Midnight Flux,Fantasy,Escape,205,540
Deep Gloom,Thriller,Heist,250,950
Eternal Dawn,Romance,Freedom,250,693
Toxic Drift,Adventure,Family,280,946
Thunder Harbor,Thriller,Rebellion,260,814
Dragon Code,Romance,Discovery,180,798
Mystic Dawn,Thriller,Survival,225,1122
Phantom Drift,Adventure,Family,295,1686
Deep Drift,Romance,Heist,70,185
Hollow Laugh,Horror,Adventure,215,1448
Scarlet Path,Horror,Chaos,175,782
Golden Witness,SciFi,Crime,200,1266
Fallen Code,Drama,Power,160,712
Wicked Witness,Thriller,Honor,255,955
Iron Zenith,Drama,Betrayal,215,611
Blazing Code,Horror,Revenge,215,1924
Ancient Forge,Thriller,Corruption,195,517
Primal Shard,Horror,Adventure,275,1103
Iron Oath,SciFi,Legacy,135,555
Savage Siege,Comedy,Friendship,60,304
Shadow Heist,Horror,Sacrifice,280,2171
Iron Night,Comedy,Redemption,225,523
Hollow Siege,Romance,Betrayal,185,564
Neon Fury,SciFi,Betrayal,125,651
Silent Zenith,Crime,Identity,30,129
Shadow Drift,Action,War,215,1263
Lost Nexus,Drama,Survival,70,150
Blazing Nexus,Thriller,Transformation,225,915
Toxic Rift,Action,Identity,135,439
Crimson Heist,Action,Justice,85,438
Midnight Justice,Romance,Heist,285,877
Twisted Edge,SciFi,Power,45,239
Urban Flux,SciFi,Redemption,65,285
Burning Oath,Romance,Destiny,300,1462
Burning Flux,SciFi,Freedom,250,875
Hollow Nexus,Drama,Sacrifice,190,316
Silent Dawn,Drama,Family,45,188
Broken Strike,Fantasy,Police,95,277
Primal Fang,Adventure,Obsession,215,850
Scarlet Pulse,Action,Friendship,155,696
Dark Dawn,Comedy,Legacy,260,834
Thunder Echo,Fantasy,Family,250,994
Cosmic Harbor,Romance,Love,105,169
Fallen Oath,SciFi,Obsession,250,938
Frozen Veil,Drama,Mystery,120,395
Frozen Witness,Action,Survival,275,1315
Velvet Reign,Drama,Identity,275,974
Crimson Tide,Crime,Destiny,60,237
Phantom Blade,Thriller,Betrayal,285,735
Lost Shard,Action,Love,110,562
Crimson Night,Romance,Transformation,30,78
Silent Pulse,Comedy,Power,285,1081
Toxic Zenith,Thriller,Sacrifice,300,813
Cosmic Wrath,SciFi,Redemption,255,649
Steel Wrath,Drama,Sacrifice,285,606
Vivid Zenith,Action,Rebellion,190,961
Lost Crown,Thriller,Exploration,135,682
Dragon Echo,Romance,Adventure,270,415
Twisted Veil,SciFi,Survival,205,783
Last Forge,Drama,Legacy,40,84
Wicked Veil,Thriller,Honor,280,1383
Hidden Justice,SciFi,Family,125,480
Vivid Edge,SciFi,Survival,285,1131
Crimson Forge,Thriller,Justice,215,1023
Mystic Veil,Thriller,Adventure,45,190
Velvet Heist,Fantasy,Survival,250,697
Lost Forge,Fantasy,Escape,270,1499
Primal Spark,SciFi,Crime,145,542
Rising Witness,Drama,Redemption,270,721
Shattered Blade,Thriller,Rebellion,15,51
Rogue Tide,Horror,Identity,240,2089
Savage Night,Thriller,Honor,140,520
Velvet Storm,SciFi,Betrayal,100,553
Mystic Reign,Adventure,Love,80,290
Frozen Harbor,Comedy,Police,240,834
Lost Rift,Thriller,Corruption,115,594
Hollow Shard,Adventure,Transformation,270,799
Toxic Shard,Drama,Destiny,250,1106
Broken Witness,Thriller,Friendship,165,929
Savage Path,Action,Heist,210,862
Vivid Pulse,Comedy,Identity,30,79
Deep Rift,Adventure,Discovery,105,275
Scarlet Zenith,Adventure,Conspiracy,40,191
Dark Flux,Horror,Identity,200,1368
Neon Drift,Comedy,Crime,165,817
Rising Nexus,Fantasy,Justice,140,887
Silent Heist,Action,Betrayal,290,943
Burning Voyage,Thriller,Mystery,140,591
Fallen Nexus,Action,Identity,25,98
Lost Blade,Fantasy,Escape,235,1268
Blazing Rift,Crime,Power,35,91
Last Dawn,Crime,Love,80,214
Velvet Fang,SciFi,Chaos,285,768
Toxic Edge,Drama,Obsession,110,242
Fading Laugh,Action,Corruption,35,127
Fallen Echo,Fantasy,Escape,170,649
Mystic Heist,Comedy,Heist,175,1012
Silent Flux,Comedy,Adventure,120,487
Crimson Fang,Action,Justice,265,1309
Vivid Crest,Thriller,War,125,425
Deep Justice,Horror,Sacrifice,25,76
Burning Path,SciFi,Police,15,88
Ancient Spark,Action,Revenge,190,872
Toxic Oath,Comedy,Crime,150,445
Shattered Veil,Fantasy,Love,300,1413
Iron Strike,Action,Friendship,90,464
Blazing Oath,Comedy,Redemption,25,74
Burning Dawn,Adventure,Exploration,55,280
Iron Crown,Thriller,Conspiracy,70,414
Last Wrath,Romance,Escape,290,555
Burning Code,Fantasy,Redemption,75,277
Wicked Flux,Crime,Chaos,290,1065
Scarlet Storm,Horror,Betrayal,185,1234
Vivid Tide,Crime,Family,135,693
Dark Drift,Fantasy,Betrayal,220,1102
Silent Laugh,Crime,Chaos,140,284
Fading Spark,Action,Obsession,170,555
Frozen Strike,SciFi,Police,120,421
Deep Storm,Horror,Adventure,250,1265
Rising Bane,Romance,Obsession,265,1256
Shattered Storm,Romance,Rebellion,255,1073
Thunder Flame,Crime,Power,145,752
Savage Witness,SciFi,Chaos,110,735
Velvet Fury,Fantasy,Heist,180,785
Frozen Drift,Romance,Escape,55,262
Crystal Flame,SciFi,Crime,10,63
Ancient Drift,Thriller,Escape,155,522
Twisted Oath,Horror,Transformation,55,331
Thunder Bane,Crime,Mystery,75,425
Broken Nexus,Drama,Transformation,20,35
Thunder Edge,Romance,Rebellion,40,101
Velvet Rift,Romance,Adventure,20,92
Fading Shard,Action,Adventure,230,1206
Fallen Wrath,SciFi,Sacrifice,155,988
Steel Path,Fantasy,Sacrifice,145,491
Crimson Abyss,Thriller,Conspiracy,115,399
Burning Realm,Horror,Revenge,270,822
Dark Echo,Adventure,Betrayal,75,419
Blazing Edge,Fantasy,Power,115,431
Mystic Laugh,Horror,Justice,175,683
Wicked Gloom,Drama,Power,70,161
Fading Abyss,Drama,Revenge,225,929
Fallen Rift,SciFi,Transformation,70,333
Dragon Flame,Fantasy,Love,295,1555
Crimson Echo,SciFi,Escape,30,171
Cosmic Nexus,SciFi,Legacy,270,1113
Toxic Reign,Adventure,Legacy,130,339
Rogue Bane,Action,Betrayal,235,830
Scarlet Veil,Comedy,Identity,220,853
Burning Edge,Crime,Crime,290,629
Savage Edge,Action,Destiny,220,1021
Ancient Fang,Adventure,Adventure,230,761
Crystal Flux,Drama,Revenge,240,585
Rogue Night,Fantasy,Honor,185,817
Midnight Fury,Crime,Identity,135,503
Neon Crest,Comedy,Family,255,880
Shattered Siege,Crime,Discovery,135,578
Crimson Strike,Action,Police,120,656
Steel Pursuit,Thriller,Heist,110,300
Burning Strike,Crime,Love,235,661
Fading Wrath,Fantasy,Obsession,65,184
Savage Bane,SciFi,Friendship,205,1283
Cosmic Code,Thriller,Adventure,35,209
Blazing Storm,Drama,Friendship,70,308
Phantom Pulse,Adventure,Destiny,250,730
Deep Forge,Thriller,Police,125,422
Silent Night,Fantasy,Discovery,145,981
Lost Heist,SciFi,War,120,425
Savage Shard,Crime,Identity,290,606
Fallen Veil,Drama,Crime,55,216
Burning Night,Comedy,Chaos,290,1317
Primal Tide,Crime,Discovery,300,757
Rogue Flux,Action,Love,195,1123
Steel Fang,Crime,Conspiracy,250,1396
Thunder Code,SciFi,Crime,50,220
Burning Gloom,Fantasy,Escape,105,570
Wicked Nexus,Adventure,Justice,220,1256
Shadow Fang,Thriller,Police,65,372
Hidden Crown,SciFi,Honor,230,994
Fading Fury,Action,Escape,65,350
Velvet Pulse,Fantasy,Obsession,65,344
Lost Veil,Crime,Mystery,210,810
Crimson Fury,Fantasy,Redemption,180,743
Fading Crest,Thriller,Conspiracy,110,535
Blazing Dawn,Romance,Police,260,526
Burning Shard,SciFi,Betrayal,110,459
Midnight Pursuit,Fantasy,Adventure,95,313
Last Bane,Romance,Adventure,90,278
Rogue Heist,Adventure,Revenge,275,1379
Blazing Shard,Adventure,Betrayal,210,597
Wicked Bane,Thriller,Mystery,140,354
Urban Voyage,Thriller,Redemption,185,886
Broken Pulse,Romance,Family,90,234
Rising Night,Action,Power,210,1021
Toxic Bane,Thriller,Friendship,115,305
Iron Reign,SciFi,Rebellion,255,567
Hollow Forge,Romance,Exploration,260,810
Iron Fang,Adventure,Betrayal,25,73
Shattered Pursuit,Horror,Identity,130,748
Thunder Path,Fantasy,Escape,170,621
Velvet Bane,Thriller,Discovery,95,376
Hollow Justice,Crime,Honor,195,630
Golden Harbor,Comedy,Survival,190,639
Golden Storm,Romance,Revenge,100,184
Dark Zenith,Thriller,Honor,120,580
Shattered Rift,SciFi,Adventure,170,1176
Urban Forge,Action,Police,20,76
Fading Night,Drama,War,160,720
Midnight Realm,Comedy,Discovery,35,125
Golden Nexus,Horror,Crime,155,983
Crimson Blade,SciFi,War,20,62
Dragon Spark,Thriller,Corruption,290,1531
Deep Flux,Crime,Heist,230,773
Midnight Siege,Thriller,Mystery,155,697
Urban Spark,Horror,Identity,295,1896
Neon Laugh,Horror,Transformation,40,154
Frozen Spark,SciFi,Chaos,20,88
Iron Path,Crime,Sacrifice,150,343
Shattered Nexus,Crime,Friendship,75,373
Midnight Abyss,Comedy,Obsession,145,327
Shattered Path,Fantasy,Heist,65,255
Twisted Tide,Romance,Honor,260,805
Rising Siege,Thriller,Power,280,1458
Scarlet Nexus,Fantasy,War,260,1581
Dark Gloom,Drama,Chaos,235,704
Fallen Storm,Drama,Identity,50,110
Eternal Gloom,Thriller,Justice,110,619
Silent Code,Action,Revenge,135,509
Crystal Strike,Adventure,Freedom,270,1402
Mystic Justice,Fantasy,Corruption,190,623
Golden Code,Comedy,Destiny,120,652
Rogue Drift,Romance,Sacrifice,15,40
Frozen Fury,Action,Revenge,185,733
Frozen Blade,Romance,Chaos,110,185
Lost Flame,Action,Survival,125,641
Phantom Night,Thriller,Destiny,65,272
Primal Zenith,Adventure,Crime,15,40
Hidden Veil,Fantasy,Exploration,80,394
Fading Siege,Adventure,Escape,235,695
Shadow Crest,Action,Freedom,165,547
Velvet Laugh,Drama,Heist,95,418
Vivid Blade,Thriller,Mystery,295,860
Fading Witness,Adventure,Discovery,10,44
Shattered Code,Crime,Corruption,255,616
Hidden Abyss,Drama,Discovery,35,122
Neon Justice,Drama,Survival,265,545
Vivid Realm,Horror,Rebellion,220,1359
Dark Storm,Action,Exploration,15,83
Deep Echo,Crime,Obsession,190,662
Toxic Spark,Adventure,Power,200,883
Thunder Pulse,Fantasy,Justice,175,466
Neon Zenith,Thriller,Survival,85,360
Neon Oath,Fantasy,Freedom,175,875
Fading Pulse,Romance,Friendship,235,1163
Ancient Bane,Adventure,Heist,260,856
Deep Nexus,Thriller,Escape,240,1247
Cosmic Path,Adventure,Mystery,105,679
Ancient Fury,SciFi,Power,205,525
Midnight Tide,Fantasy,Destiny,250,1450
Eternal Veil,Fantasy,Chaos,15,98
Fallen Crown,SciFi,Honor,140,742
Blazing Pursuit,Horror,Legacy,175,674
Neon Abyss,Crime,Rebellion,130,520
Shattered Bane,Thriller,Honor,10,46
Mystic Pursuit,Action,Rebellion,255,1004
Vivid Shard,Drama,Discovery,250,1092
Hollow Crown,Fantasy,Redemption,225,1546
Iron Veil,Crime,Crime,190,1023
Rising Crest,Comedy,Chaos,230,1165
Twisted Night,Action,Friendship,50,152
Fading Flux,Romance,Corruption,20,52
Rogue Pursuit,Thriller,Power,125,424
Crystal Crest,Thriller,Family,145,392
Scarlet Witness,Action,Discovery,30,170
Hollow Bane,Comedy,Justice,25,139
Phantom Tide,Fantasy,Legacy,100,340
Crystal Night,Horror,Power,225,1104
Rogue Oath,SciFi,Mystery,160,344
Fading Strike,Fantasy,Betrayal,50,186
Silent Siege,Horror,Revenge,180,1159
Midnight Oath,Horror,Obsession,255,1178
Savage Zenith,Thriller,Chaos,175,630
Crimson Code,Comedy,Betrayal,200,1097
Steel Siege,Fantasy,Betrayal,205,699
Dark Fang,Romance,Identity,135,279
Cosmic Night,Comedy,Freedom,265,574
Rogue Crest,Fantasy,Chaos,115,777
Velvet Veil,Crime,Power,295,1615
Iron Wrath,Fantasy,Sacrifice,40,266
Neon Rift,Action,War,185,844
Hollow Drift,Crime,Rebellion,260,1279
Frozen Pulse,Crime,Exploration,245,1013
Shadow Storm,Action,Honor,265,1337
Thunder Voyage,Action,Redemption,180,971
Steel Forge,Romance,Survival,200,896
Midnight Zenith,Drama,Love,35,116
Ancient Tide,Comedy,Legacy,250,1124
Burning Wrath,Action,War,140,837
Lost Pursuit,Crime,Conspiracy,65,218
Urban Pulse,SciFi,Power,235,1424
Hollow Pulse,Fantasy,Adventure,150,731
Lost Reign,Action,Corruption,215,836
Broken Night,Thriller,Friendship,265,1216
Dragon Crown,Action,Adventure,165,974
Frozen Shard,Drama,Redemption,275,997
Neon Realm,Adventure,Exploration,30,145
Crystal Edge,Drama,Heist,70,212
Midnight Wrath,Comedy,Rebellion,265,1492
Vivid Dawn,Adventure,Power,185,738
Rising Fang,SciFi,Heist,240,1029
Steel Strike,Horror,Crime,160,618
Neon Shard,SciFi,Adventure,50,223
Thunder Siege,Fantasy,Justice,55,215
Dragon Heist,Romance,Escape,260,550
Lost Crest,Fantasy,Rebellion,275,1168
Ancient Siege,Action,Friendship,255,1328
Cosmic Drift,Thriller,Survival,270,891
Thunder Laugh,Adventure,Freedom,65,274
Scarlet Justice,Drama,Destiny,185,544
Dragon Justice,Action,Power,250,1088
Fallen Blade,Adventure,Obsession,55,191
Dragon Tide,Action,Heist,245,1004
Primal Voyage,Adventure,Legacy,215,1234
Golden Oath,Romance,Corruption,265,427
Golden Heist,Horror,Family,190,1159
Steel Justice,SciFi,Destiny,120,510
Neon Fang,Crime,Corruption,40,217
Velvet Pursuit,Adventure,Destiny,170,1042
Ancient Flux,Fantasy,Heist,20,67
Dragon Voyage,Horror,Adventure,215,1598
Vivid Veil,Romance,Freedom,295,661
Dragon Forge,Drama,Heist,30,76
Hidden Siege,Action,Revenge,235,1215
Fallen Night,Action,Redemption,135,586
Savage Dawn,Crime,Adventure,285,698
Rogue Dawn,Romance,Friendship,175,615
Shattered Laugh,Drama,Conspiracy,35,98
Crystal Realm,Romance,Adventure,270,747
Golden Wrath,Thriller,Chaos,300,1167
Primal Pursuit,SciFi,Obsession,75,417
Hollow Rift,Thriller,Chaos,300,1304
Phantom Zenith,Horror,War,95,517
Iron Realm,Crime,Sacrifice,60,207
Fading Forge,Drama,Crime,215,824
Hidden Forge,Fantasy,Escape,120,514
Mystic Forge,Adventure,Sacrifice,45,243
Dragon Abyss,Romance,Escape,235,821
Golden Rift,Thriller,Crime,70,268
Iron Laugh,Adventure,Destiny,150,761
Midnight Shard,Adventure,Friendship,295,1237
Rising Blade,Romance,Revenge,160,388
Velvet Abyss,Adventure,War,285,1782
Savage Fury,Horror,Discovery,300,1754
Twisted Crown,SciFi,Justice,175,1143
Twisted Forge,Fantasy,Sacrifice,90,366
Toxic Blade,Adventure,Sacrifice,195,1144
Eternal Strike,Fantasy,Love,40,191
Last Drift,Thriller,Friendship,55,201
Ancient Echo,Drama,Power,205,698
Fallen Harbor,SciFi,Survival,260,749
Cosmic Justice,Adventure,Discovery,295,1510
Rogue Fury,SciFi,War,185,962
Wicked Pulse,Action,Crime,60,355
Wicked Zenith,SciFi,Mystery,225,464
Phantom Justice,Thriller,Friendship,225,1097
Mystic Flux,SciFi,Heist,270,1265
Fading Dawn,Comedy,Family,50,181
Mystic Fang,Thriller,Legacy,160,512
Scarlet Flame,Drama,Family,55,237
Rogue Pulse,Horror,Transformation,255,1810
Rising Fury,Horror,Friendship,140,571
Crystal Justice,Thriller,Discovery,230,1188
